step,train_loss,lr,val_loss,val_perplexity
10,2.460279807448387,9.090909090909091e-06,,
20,2.2835643216967583,1.8181818181818182e-05,,
30,2.2380173727869987,1.997977921743176e-05,,
40,2.3242267444729805,1.9880957322956577e-05,,
50,2.1670857816934586,1.9700725044595723e-05,,
50,,,2.2090260803699495,9.106842739717134
60,2.199527382850647,1.944073454420927e-05,,
70,2.1278264820575714,1.9103369115137496e-05,,
80,2.1621319204568863,1.869172133491363e-05,,
90,2.1791784316301346,1.8209564716076345e-05,,
100,2.276858940720558,1.7661319114954777e-05,,
100,,,2.155184638500214,8.629483366748781
110,2.1545137092471123,1.7052010215518324e-05,,
120,2.1519523933529854,1.638722345969675e-05,,
130,2.181028477847576,1.5673052846484252e-05,,
140,2.1618672236800194,1.4916045069178313e-05,,
150,2.200232654809952,1.4123139502838824e-05,,
150,,,2.129206305742264,8.408190629746285
160,2.1611472368240356,1.3301604592093261e-05,,
170,2.130472883582115,1.2458971222411182e-05,,
180,2.0881458446383476,1.1602963685623536e-05,,
190,2.167312979698181,1.0741428872515253e-05,,
200,2.2549028918147087,9.882264341571921e-06,,
200,,,2.1131139785051345,8.273966163264166
210,2.116605043411255,9.033345923263333e-06,,
220,2.1622837856411934,8.202455523504454e-06,,
230,2.1504306346178055,7.3972097881085045e-06,,
240,2.1000310704112053,6.624990282154225e-06,,
