[supervisor] 2026-08-17T22:26:45+05:30 waiting for data preparation to finish...
[supervisor] 2026-08-17T22:26:45+05:30 data ready: 5000186213 tokens
[supervisor] 2026-08-17T22:26:45+05:30 attempt 1: resuming from step 14000
[supervisor] launching on CUDA_VISIBLE_DEVICES=0 with nproc_per_node=1
Model vocab_size 50304 > tokenizer vocab_size 50259 (45 unused padding rows, kept for tensor-core alignment)
Data: 4,900,186,213 train tokens / 100,000,000 val tokens (9,570,651 windows at stride 512)
Model: medium (123,587,328 parameters)
Resumed from checkpoints/medium/step_14000.pt at step 14000
step  14001 | train_loss 3.2546 | lr 1.76e-04
step  14002 | train_loss 3.3012 | lr 1.75e-04
step  14003 | train_loss 3.2297 | lr 1.75e-04
step  14004 | train_loss 3.2525 | lr 1.75e-04
step  14005 | train_loss 3.2485 | lr 1.75e-04
step  14006 | train_loss 3.2158 | lr 1.75e-04
step  14007 | train_loss 3.2636 | lr 1.75e-04
step  14008 | train_loss 3.2529 | lr 1.75e-04
step  14009 | train_loss 3.2673 | lr 1.75e-04
step  14010 | train_loss 3.2691 | lr 1.75e-04
step  14011 | train_loss 3.2124 | lr 1.75e-04
step  14012 | train_loss 3.2560 | lr 1.75e-04
step  14013 | train_loss 3.2064 | lr 1.75e-04
step  14014 | train_loss 3.2504 | lr 1.75e-04
step  14015 | train_loss 3.2054 | lr 1.75e-04
step  14016 | train_loss 3.1893 | lr 1.75e-04
step  14017 | train_loss 3.2122 | lr 1.75e-04
step  14018 | train_loss 3.2132 | lr 1.75e-04
step  14019 | train_loss 3.2515 | lr 1.75e-04
step  14020 | train_loss 3.2506 | lr 1.75e-04
step  14021 | train_loss 3.2714 | lr 1.75e-04
step  14022 | train_loss 3.2312 | lr 1.75e-04
step  14023 | train_loss 3.1850 | lr 1.75e-04
step  14024 | train_loss 3.2184 | lr 1.75e-04
step  14025 | train_loss 3.2654 | lr 1.75e-04
step  14026 | train_loss 3.2215 | lr 1.75e-04
step  14027 | train_loss 3.2495 | lr 1.75e-04
step  14028 | train_loss 3.2306 | lr 1.75e-04
step  14029 | train_loss 3.2207 | lr 1.75e-04
step  14030 | train_loss 3.3120 | lr 1.75e-04
step  14031 | train_loss 3.2450 | lr 1.74e-04
step  14032 | train_loss 3.2277 | lr 1.74e-04
step  14033 | train_loss 3.2605 | lr 1.74e-04
step  14034 | train_loss 3.2343 | lr 1.74e-04
step  14035 | train_loss 3.2493 | lr 1.74e-04
step  14036 | train_loss 3.2406 | lr 1.74e-04
step  14037 | train_loss 3.2633 | lr 1.74e-04
step  14038 | train_loss 3.2259 | lr 1.74e-04
step  14039 | train_loss 3.2436 | lr 1.74e-04
step  14040 | train_loss 3.2190 | lr 1.74e-04
step  14041 | train_loss 3.3155 | lr 1.74e-04
step  14042 | train_loss 3.2280 | lr 1.74e-04
step  14043 | train_loss 3.2806 | lr 1.74e-04
step  14044 | train_loss 3.2814 | lr 1.74e-04
step  14045 | train_loss 3.2306 | lr 1.74e-04
step  14046 | train_loss 3.2651 | lr 1.74e-04
step  14047 | train_loss 3.2172 | lr 1.74e-04
step  14048 | train_loss 3.2199 | lr 1.74e-04
step  14049 | train_loss 3.2757 | lr 1.74e-04
step  14050 | train_loss 3.2322 | lr 1.74e-04
step  14051 | train_loss 3.2430 | lr 1.74e-04
step  14052 | train_loss 3.2163 | lr 1.74e-04
step  14053 | train_loss 3.2394 | lr 1.74e-04
step  14054 | train_loss 3.2492 | lr 1.74e-04
step  14055 | train_loss 3.2450 | lr 1.74e-04
step  14056 | train_loss 3.2501 | lr 1.74e-04
step  14057 | train_loss 3.2499 | lr 1.74e-04
step  14058 | train_loss 3.2880 | lr 1.74e-04
step  14059 | train_loss 3.2704 | lr 1.73e-04
step  14060 | train_loss 3.2468 | lr 1.73e-04
step  14061 | train_loss 3.2462 | lr 1.73e-04
step  14062 | train_loss 3.2660 | lr 1.73e-04
step  14063 | train_loss 3.2660 | lr 1.73e-04
step  14064 | train_loss 3.2760 | lr 1.73e-04
step  14065 | train_loss 3.2211 | lr 1.73e-04
step  14066 | train_loss 3.2609 | lr 1.73e-04
step  14067 | train_loss 3.2369 | lr 1.73e-04
step  14068 | train_loss 3.3148 | lr 1.73e-04
step  14069 | train_loss 3.2701 | lr 1.73e-04
step  14070 | train_loss 3.2351 | lr 1.73e-04
step  14071 | train_loss 3.2441 | lr 1.73e-04
step  14072 | train_loss 3.2659 | lr 1.73e-04
step  14073 | train_loss 3.2978 | lr 1.73e-04
step  14074 | train_loss 3.2591 | lr 1.73e-04
step  14075 | train_loss 3.2274 | lr 1.73e-04
step  14076 | train_loss 3.2297 | lr 1.73e-04
step  14077 | train_loss 3.2698 | lr 1.73e-04
step  14078 | train_loss 3.2339 | lr 1.73e-04
step  14079 | train_loss 3.2495 | lr 1.73e-04
step  14080 | train_loss 3.2694 | lr 1.73e-04
step  14081 | train_loss 3.2857 | lr 1.73e-04
step  14082 | train_loss 3.2374 | lr 1.73e-04
step  14083 | train_loss 3.2519 | lr 1.73e-04
step  14084 | train_loss 3.2662 | lr 1.73e-04
step  14085 | train_loss 3.2539 | lr 1.73e-04
step  14086 | train_loss 3.2471 | lr 1.73e-04
step  14087 | train_loss 3.2242 | lr 1.72e-04
step  14088 | train_loss 3.2395 | lr 1.72e-04
step  14089 | train_loss 3.2414 | lr 1.72e-04
step  14090 | train_loss 3.2441 | lr 1.72e-04
step  14091 | train_loss 3.2437 | lr 1.72e-04
step  14092 | train_loss 3.2691 | lr 1.72e-04
step  14093 | train_loss 3.2320 | lr 1.72e-04
step  14094 | train_loss 3.2528 | lr 1.72e-04
step  14095 | train_loss 3.2269 | lr 1.72e-04
step  14096 | train_loss 3.2322 | lr 1.72e-04
step  14097 | train_loss 3.2660 | lr 1.72e-04
