model,dataset,train_examples,packing_factor,lr_padded,lr_packed,shift,exponent,bound,seeds
124M,alpaca,50868,4.4725,2.810179e-05,1.365046e-04,4.8575,1.055134,0.127872,3
124M,dolly,13756,2.9190,3.780076e-05,7.841802e-05,2.0745,0.681192,0.098778,3
124M,alpaca_short,16956,7.8394,4.796619e-05,1.389549e-04,2.8969,0.516546,0.041581,3
124M,alpaca_mid,16956,4.8673,4.480348e-05,1.327205e-04,2.9623,0.686212,0.066644,2
124M,alpaca_long,16956,2.7282,6.728376e-05,1.368306e-04,2.0336,0.707241,0.264629,3
124M,alpaca_third,16956,4.5062,4.591176e-05,1.259409e-04,2.7431,0.670286,0.043417,3
124M,alpaca_ninth,5652,4.5302,5.832923e-05,1.043326e-04,1.7887,0.384893,0.099480,2
124M,dolly_third,4585,3.1439,4.663445e-05,7.865744e-05,1.6867,0.456372,0.092065,3
30M,alpaca,50868,4.4725,3.497498e-05,2.450036e-04,7.0051,1.299546,0.158739,3
30M,alpaca_third,16956,4.5062,6.308537e-05,2.005282e-04,3.1787,0.768179,0.094070,3
30M,alpaca_ninth,5652,4.5302,8.227459e-05,1.637564e-04,1.9904,0.455612,0.059069,3
7M,alpaca,50868,4.4725,1.192232e-04,1.509367e-03,12.6600,1.694628,0.261348,3
7M,alpaca_third,16956,4.5062,1.890846e-04,7.387431e-04,3.9069,0.905206,0.174351,3
30M@19.7,alpaca,50868,4.4725,5.057001e-05,3.555523e-04,7.0309,1.301999,0.118786,3
30M@19.7,alpaca_third,16956,4.5062,9.186422e-05,3.005867e-04,3.2721,0.787415,0.100201,3
7M@18.0,alpaca,50868,4.4725,2.189545e-04,2.375682e-03,10.8501,1.591639,0.333410,3
7M@18.0,alpaca_third,16956,4.5062,2.732264e-04,1.037684e-03,3.7979,0.886401,0.201224,3
124M@ppl107,alpaca,50868,4.4725,1.123431e-04,4.364135e-04,3.8846,0.905934,0.203795,3
