dataset,cell,pack_sequences,max_steps,max_lr,seed,final_val_loss,best_val_loss,best_val_step,wall_seconds,log_path
alpaca,packed_350,True,350,6e-05,1337,3.3238,3.3238,350,256,logs/lr_scaling_quality/alpaca_packed_350_lr6e-05_seed1337.csv
alpaca,packed_350,True,350,0.00015,1337,3.1739,3.1739,350,260,logs/lr_scaling_quality/alpaca_packed_350_lr0.00015_seed1337.csv
alpaca,packed_350,True,350,0.00025,1337,3.1236,3.1236,350,260,logs/lr_scaling_quality/alpaca_packed_350_lr0.00025_seed1337.csv
alpaca,packed_350,True,350,9e-05,1337,3.2512,3.2512,350,846,logs/lr_scaling_quality/alpaca_packed_350_lr9e-05_seed1337.csv
alpaca,packed_350,True,350,0.0004,1337,3.1093,3.1093,350,260,logs/lr_scaling_quality/alpaca_packed_350_lr0.0004_seed1337.csv
alpaca,packed_350,True,350,0.0009,1337,3.1457,3.1457,350,260,logs/lr_scaling_quality/alpaca_packed_350_lr0.0009_seed1337.csv
alpaca,packed_350,True,350,0.0015,1337,3.2822,3.2822,350,260,logs/lr_scaling_quality/alpaca_packed_350_lr0.0015_seed1337.csv
alpaca,packed_350,True,350,0.0006,1337,3.1132,3.1132,350,843,logs/lr_scaling_quality/alpaca_packed_350_lr0.0006_seed1337.csv
alpaca,unpacked_1600,False,1600,2e-05,1337,3.4232,3.4232,1600,1077,logs/lr_scaling_quality/alpaca_unpacked_1600_lr2e-05_seed1337.csv
alpaca,unpacked_1600,False,1600,6e-05,1337,3.3170,3.3170,1600,1386,logs/lr_scaling_quality/alpaca_unpacked_1600_lr6e-05_seed1337.csv
alpaca,unpacked_1600,False,1600,3e-05,1337,3.3737,3.3737,1600,3253,logs/lr_scaling_quality/alpaca_unpacked_1600_lr3e-05_seed1337.csv
alpaca,unpacked_1600,False,1600,9e-05,1337,3.3010,3.3009,1596,1083,logs/lr_scaling_quality/alpaca_unpacked_1600_lr9e-05_seed1337.csv
alpaca,unpacked_1600,False,1600,0.00025,1337,3.3335,3.3333,1596,1210,logs/lr_scaling_quality/alpaca_unpacked_1600_lr0.00025_seed1337.csv
alpaca,unpacked_1600,False,1600,0.0004,1337,3.3946,3.3942,1596,1076,logs/lr_scaling_quality/alpaca_unpacked_1600_lr0.0004_seed1337.csv
alpaca,unpacked_1600,False,1600,0.00015,1337,3.3028,3.3022,1596,3020,logs/lr_scaling_quality/alpaca_unpacked_1600_lr0.00015_seed1337.csv
